# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 34.615, 50.856 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Tehran, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Tehran", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "34.6146", "lon": "50.856", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 03:30,0,0,0,0.133
2019-01-01 01:00,2019-01-01 04:30,0,0,0,-0.222
2019-01-01 02:00,2019-01-01 05:30,0,0,0,-0.549
2019-01-01 03:00,2019-01-01 06:30,0.355,0.004,0.002,-0.908
2019-01-01 04:00,2019-01-01 07:30,279.590,0.266,0.037,1.303
2019-01-01 05:00,2019-01-01 08:30,531.959,0.542,0.051,4.561
2019-01-01 06:00,2019-01-01 09:30,672.910,0.720,0.064,7.928
2019-01-01 07:00,2019-01-01 10:30,686.613,0.718,0.092,9.702
2019-01-01 08:00,2019-01-01 11:30,662.512,0.667,0.115,10.677
2019-01-01 09:00,2019-01-01 12:30,627.837,0.622,0.116,11.355
2019-01-01 10:00,2019-01-01 13:30,604.505,0.619,0.091,11.820
2019-01-01 11:00,2019-01-01 14:30,484.091,0.485,0.072,11.736
2019-01-01 12:00,2019-01-01 15:30,271.655,0.256,0.051,10.178
2019-01-01 13:00,2019-01-01 16:30,14.052,0.019,0.008,6.653
2019-01-01 14:00,2019-01-01 17:30,0,0,0,5.444
2019-01-01 15:00,2019-01-01 18:30,0,0,0,5.275
2019-01-01 16:00,2019-01-01 19:30,0,0,0,5.057
2019-01-01 17:00,2019-01-01 20:30,0,0,0,4.468
2019-01-01 18:00,2019-01-01 21:30,0,0,0,3.707
2019-01-01 19:00,2019-01-01 22:30,0,0,0,3.224
2019-01-01 20:00,2019-01-01 23:30,0,0,0,2.815
2019-01-01 21:00,2019-01-02 00:30,0,0,0,2.369
2019-01-01 22:00,2019-01-02 01:30,0,0,0,1.796
2019-01-01 23:00,2019-01-02 02:30,0,0,0,1.235
2019-01-02 00:00,2019-01-02 03:30,0,0,0,0.861
2019-01-02 01:00,2019-01-02 04:30,0,0,0,0.717
2019-01-02 02:00,2019-01-02 05:30,0,0,0,0.908
2019-01-02 03:00,2019-01-02 06:30,0,0.001,0.002,1.082
2019-01-02 04:00,2019-01-02 07:30,105.404,0.065,0.060,2.523
2019-01-02 05:00,2019-01-02 08:30,324.507,0.240,0.118,5.728
2019-01-02 06:00,2019-01-02 09:30,457.386,0.357,0.157,8.070
2019-01-02 07:00,2019-01-02 10:30,383.496,0.216,0.214,9.106
2019-01-02 08:00,2019-01-02 11:30,322.039,0.130,0.232,9.383
2019-01-02 09:00,2019-01-02 12:30,249.831,0.072,0.210,9.456
2019-01-02 10:00,2019-01-02 13:30,189.659,0.046,0.172,9.536
2019-01-02 11:00,2019-01-02 14:30,130.467,0.031,0.124,9.455
2019-01-02 12:00,2019-01-02 15:30,45.955,0.010,0.054,8.420
2019-01-02 13:00,2019-01-02 16:30,0,0.001,0.004,6.391
2019-01-02 14:00,2019-01-02 17:30,0,0,0,5.424
2019-01-02 15:00,2019-01-02 18:30,0,0,0,4.810
2019-01-02 16:00,2019-01-02 19:30,0,0,0,4.273
2019-01-02 17:00,2019-01-02 20:30,0,0,0,3.849
2019-01-02 18:00,2019-01-02 21:30,0,0,0,3.585
2019-01-02 19:00,2019-01-02 22:30,0,0,0,3.484
2019-01-02 20:00,2019-01-02 23:30,0,0,0,3.382
2019-01-02 21:00,2019-01-03 00:30,0,0,0,3.138
2019-01-02 22:00,2019-01-03 01:30,0,0,0,2.893
